Company/Manufacturer,Product,Path/Bank,Program,Notes,Examples,Demo
Image-Line,FL Studio,Packs -> Drums -> SFX,Grv Hit Metal,,"Blossom Haze: Press Garden Zone Act 2, Built to Rule: Titanic Monarch Zone Act 1, Lava Reef Zone Act 2",
Image-Line,FL Studio,Packs -> Legacy -> Drums -> FPC,FPC_Crash_G18InLite_05,,Ruby Delusions: Eggman Boss 1,
Image-Line,FL Studio,Packs -> Legacy -> FX,FLS_Glass_Break_02,,Stardust Speedway Zone Act 2,
Image-Line,FL Studio,Packs -> Legacy -> Instruments -> Hits,HIT_1,,"Danger on The Dance Floor: Mid-Boss, Hi-Spec Robo Go!: Hard Boiled Heavy Boss, Stardust Speedway (Act 2)",
Image-Line,FL Studio,Packs -> Legacy -> Instruments -> Hits,HIT_2,,"Lights, Camera, Action!: Studiopolis Zone Act 1",
Image-Line,FL Studio,Packs -> Legacy -> Instruments -> Hits,HIT_3,,"Discovery: Title Screen, Oil Ocean Zone Act 1, Stardust Speedway Zone Act 2, Undefeatable: Invincibility",
Image-Line,FL Studio,Packs -> Legacy -> Instruments -> Hits,HIT_BrassTab,,Metallic Madness Zone Act 1,
Image-Line,Speech,,Colossus,"Monotone: > Normal, 200 WPM",Egg Reverie: Egg Reverie Zone,
KORG,M1 Legacy Collection,PROG,K01 12 BrassOfPower,,-Used throughout the soundtrack-,
KORG,M1 Legacy Collection,PROG,K01 22 JoystickLead,,Knuckles & Knuckles Ending,
KORG,M1 Legacy Collection,PROG,K01 25 Windchimes, ,Skyway Octane: Mirage Saloon Zone (Act 1 ST Mix),
KORG,M1 Legacy Collection,PROG,K01 31 Filter Clav,,Hydrocity Zone Act 1,
KORG,M1 Legacy Collection,PROG,K01 52 PulseLeadWide,,Game Over,
KORG,M1 Legacy Collection,PROG,K01 62 Slap Brass,,"Angel Island Cutscene, Flying Battery Zone Act 2, Steel Cortex: Titanic Monarch Zone Act 2, Blue Spheres",
KORG,M1 Legacy Collection,PROG,K01 82 Ana Brass,,Sunshine Cassette: Save Select,
KORG,M1 Legacy Collection,PROG,K01 83 ImpressivPad,,"The Blur: Speed Shoes, The Winner!: Competition Results",
KORG,M1 Legacy Collection,PROG,K01 94 Muteineer,,Rogues Gallery: Mirage Saloon Zone Act 2,
KORG,M1 Legacy Collection,PROG,M01 01 Piano 16',,-Used throughout the soundtrack-,
KORG,M1 Legacy Collection,PROG,M01 05 BottleBell,,Tabloid Jargon: Press Garden Zone Act 1,
KORG,M1 Legacy Collection,PROG,M01 08 Pan Flute,,"Blossom Haze: Press Garden Zone Act 2, Skyway Octane: (Mirage Saloon Zone Act 1 ST Mix)",
KORG,M1 Legacy Collection,PROG,M01 12 Trumpet,,"Built to Rule: Titanic Monarch Zone Act 1, Ending, Rogues Gallery: Mirage Saloon Zone Act 2",
KORG,M1 Legacy Collection,PROG,M01 15 Vibes,,Flying Battery Zone Act 2,
KORG,M1 Legacy Collection,PROG,M01 16 Pick Bass,,Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix),
KORG,M1 Legacy Collection,PROG,M01 17 Organ 2,,"Chemical Plant Zone Act 1, Metallic Madness Zone Act 1, Oil Ocean Zone Act 1",
KORG,M1 Legacy Collection,PROG,M01 18 Flute,,"Rogues Gallery: Mirage Saloon Zone Act 2, Sunshine Cassette: Save Select",
KORG,M1 Legacy Collection,PROG,M01 21 MagicPiano,,Stardust Speedway Act 2,
KORG,M1 Legacy Collection,PROG,M01 22 Solo Sax,,"Guided Tour: Credits, Hi-Spec Robo Go!: Hard Boiled Heavy Boss",
KORG,M1 Legacy Collection,PROG,M01 25 Kalimba,,Comfort Zone: Main Menu,
KORG,M1 Legacy Collection,PROG,M01 27 Strings,,-Used throughout the soundtrack-,
KORG,M1 Legacy Collection,PROG,M01 39 Pop,,Chemical Plant Zone Act 1,
KORG,M1 Legacy Collection,PROG,M01 45 Tubular,,"Built to Rule: Titanic Monarch Zone Act 1, Steel Cortex: Titanic Monarch Zone Act 2",
KORG,M1 Legacy Collection,PROG,M01 46 Slap Bass,,"Dimension Heist (UFO Special Stage), Metallic Madness Zone Act 1, The Winner!: Competition Results",
KORG,M1 Legacy Collection,PROG,M01 54 Guitar 2,,Blossom Haze: Press Garden Zone Act 2,
KORG,M1 Legacy Collection,PROG,M01 64 RockGuitar,,Stardust Speedway Act 2,
KORG,M1 Legacy Collection,PROG,M01 72 Brass 2,,Who's The Boss?: Hard Boiled Heavies Mischief Scene,
KORG,M1 Legacy Collection,PROG,M01 82 Mute Trp.,,"Lights, Camera, Action!: Studiopolis Zone Act 1, Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix)",
KORG,M1 Legacy Collection,PROG,M01 92 Synth Brass,,-Used throughout the soundtrack-,
KORG,M1 Legacy Collection,PROG,M01 96 Mono Synth,,Egg Reverie: Egg Reverie Zone,
KORG,M1 Legacy Collection,PROG,M02 05 Marimba,Short release,"Chemical Plant Zone Act 2, Lava Reef Zone Act 1",
KORG,M1 Legacy Collection,PROG,M02 07 Stringorch,,Flying Battery Zone Act 1,
KORG,M1 Legacy Collection,PROG,M02 14 Banjo,,Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix),
KORG,M1 Legacy Collection,PROG,M02 21 Magic Piano,,Stardust Speedway Zone Act 2,
KORG,M1 Legacy Collection,PROG,M02 22 Harmonica,,Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix),
KORG,M1 Legacy Collection,PROG,M02 31 Organ 4,,Vs. Metal Sonic,
KORG,M1 Legacy Collection,PROG,M02 64 FingerPick,,Skyway Octane: (Mirage Saloon Zone Act 1 ST Mix),
KORG,M1 Legacy Collection,PROG,M02 79 Cymbell,,Who's The Boss?: Hard Boiled Heavies Mischief Scene,
KORG,M1 Legacy Collection,PROG,M02 94 Koto,,Blossom Haze: Press Garden Zone Act 2,
KORG ,M1 Legacy Collection,PROG,M03 01 Chin-Brass,,Head 2 Head: Versus Mode,
KORG ,M1 Legacy Collection,PROG,M03 14 MelodyBell,,-Used throughout the soundtrack-,
KORG ,M1 Legacy Collection,PROG,M03 31 PhoneEns.,,Stardust Speedway Zone Act 1,
KORG ,M1 Legacy Collection,PROG,M03 36 Sawtrumpet,,Head 2 Head: Versus Mode,
KORG ,M1 Legacy Collection,PROG,M03 41 BrassEns.,,Sunshine Cassette: Save Select,
KORG ,M1 Legacy Collection,PROG,M03 71 SpltWhistl,,Blossom Haze: Press Garden Zone Act 2,
KORG ,M1 Legacy Collection,PROG,M04 14 Syn.Bass 5,Turn off effects,Oil Ocean Zone Act 2,
KORG ,M1 Legacy Collection,PROG,M04 33 PianoTalk,,Metallic Madness Zone Act 1,
KORG ,M1 Legacy Collection,PROG,M04 43 Life Magic,,-Used throughout the soundtrack-,
KORG ,M1 Legacy Collection,PROG,M05 43 ProcesSAX,,"Stardust Speedway Zone Act 1, Stardust Speedway Zone Act 2, Sunshine Cassette: Save Select",
KORG,M1 Legacy Collection,PROG,M07 25 Bali Bells,,Guided Tour: Credits,
KORG,M1 Legacy Collection,PROG,M08 04 Muted Gtr.,,Stardust Speedway Zone Act 1,
KORG,M1 Legacy Collection,PROG,M08 13 Monopoly,,Rogues Gallery Zone: Mirage Saloon Zone Act 2,
KORG,M1 Legacy Collection,PROG,M09 08 Bellz,,"Lights, Camera, Action!: Studiopolis Zone Act 1",
KORG,M1 Legacy Collection,PROG,M10 00 Anvil #1,,Metallic Madness Zone Act 2,
KORG,M1 Legacy Collection,PROG,M11 05 Rotary BX3,Could be something else,Tabloid Jargon: Press Garden Zone Act 1,
KORG,M1 Legacy Collection,PROG,M11 22 Jazz3Pc.Ch,,Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix),
KORG,M1 Legacy Collection,PROG,M12 05 Carribean,,Sunshine Cassette: Save Select,
KORG,M1 Legacy Collection,PROG,M12 12 Gendar,,"Ruby Delusions: Eggman Boss 1, Vs. Metal Sonic",
KORG,M1 Legacy Collection,PROG,M20 92 Rock Twins,,Rogues Gallery Zone: Mirage Saloon Zone Act 2,
KORG,M1 Legacy Collection,PROG,T01 99 Whistler,,Skyway Octane: (Mirage Saloon Zone Act 1 ST Mix),
KORG,Mono/Poly Legacy Collection,Bank A,A019: HardTune Lead,,Danger on the Dance Floor: Mid-Boss,
KORG,Mono/Poly Legacy Collection,Bank A,A034: Toxikated Bass,,Blossom Haze: Press Garden Zone Act 2,
KORG ,Mono/Poly Legacy Collection,Bank A,A043: Petrokemikal Ltd,,Havoc Prognosis: Eggman Boss 2,
KORG ,Mono/Poly Legacy Collection,Bank A,A090: Rounder Bass,,Stardust Speedway Zone Act 1,
KORG ,Mono/Poly Legacy Collection,Bank A,A099: Pulsin' Solo,,"Danger on The Dance Floor: Mid-Boss, Egg Reverie: Egg Reverie Zone",
KORG,Mono/Poly Legacy Collection,Bank A,A123: Thrasher,,"Flying Battery Zone Act 1, Tabloid Jargon: Press Garden Zone Act 1",
KORG ,Mono/Poly Legacy Collection,Bank B,B042: Tubular Bass,,"Danger on the Dance Floor: Mid-Boss, Vs. Metal Sonic",
KORG ,Mono/Poly Legacy Collection,Bank B,B089: Synced Cars,,Tabloid Jargon: Press Garden Zone Act 1,
Lennar Digital,Sylenth1,FactoryBank1,052: LD Follow,,Dimension Heist: UFO Special Stage,
LUXONIX,Purity,050 Piano,001 1st Impression,,-Used throughout the soundtrack-,
LUXONIX,Purity,050 Piano,002 70's Layer Key,,Dimension Heist: UFO Special Stage,
LUXONIX,Purity,060 Lead Synth,057 Tiny Lead,,Blossom Haze: Press Garden Zone Act 2,
MaxV,200 Drum Machines,Roland R-8,R8Crash07,Pitched up an octave,Green Hill Zone Act 1,
Native Instruments,B4 II,,1: Soul Explosion,,Egg Reverie: Egg Reverie Zone,
Native Instruments,B4 II,,13: Rock Basic,,"Blue Spheres, Egg Reverie: Egg Reverie Zone, Metallic Madness Zone Act 2",
Native Instruments,Kontakt Factory Library,Orchestral -> 4: VSL Percussion,Xylophone,,Knuckles & Knuckles Ending,
Native Instruments,Kontakt Factory Library,Orchestral -> 6: Keyboard Instruments,Harpsichord,,Built to Rule: Titanic Monarch Zone Act 1,
Native Instruments,Kontakt Factory Library,World -> 5: Accordions,Melodeon,,Green Hill Zone Act 2,
Native Instruments,Massive,Massive Exp. 1,The Whistler,,Tabloid Jargon: Press Garden Zone Act 1,
Native Instruments,Massive,Massive Exp. 2,Glassbreaker,,"Lights, Camera, Action!: Studiopolis Zone Act 1",
Native Instruments,Massive,Massive Factory,3 Silver Lines,,Chemical Plant Zone Act 2,
Native Instruments,Massive,Massive Factory,Ad Voca,,Built to Rule: Titanic Monarch Zone Act 1,
Native Instruments,Massive,Massive Factory,Attack Disto,Bass,"Lights, Camera, Action!: Studiopolis Zone Act 1",
Native Instruments,Massive,Massive Factory,Brutal Electro,,Steel Cortex: Titanic Monarch Zone Act 2,
Native Instruments,The Grandeur ,,The Grandeur,,-Used throughout the soundtrack-,
Native Instruments,The Maverick,,The Maverick,,Game Over,
reFX,Nexus²,Dance Leads,LD Funkee Syn,,Metallic Madness Zone Act 1,
Rob Papen,Predator,01 introduction,050 lead: DarkRider,,Rogues Gallery: Mirage Saloon Zone Act 2,
Rob Papen,Predator,04 HipHop DirtySouth 01,045 lead: Portamento Leader,,"Lights, Camera, Action!: Studiopolis Zone Act 1",
Rob Papen,Predator,30 Synth.NL bank,045 Lead 9 .NL,,Egg Reverie: Egg Reverie Zone,
Samplemodeling,The Sax Brothers,,Mr.Sax T,,Metallic Madness Zone Act 2,
Scarbee,Funk Guitarist,,,,"Hi-Spec Robo Go!: Hard Boiled Heavy Boss, Prime Time: Studiopolis Zone Act 2, Stardust Speedway Zone Act 2",
Spectrasonics,Trilian,Bass: Electric Slapped,Studio Slap Sustain,,"Egg Reverie: Egg Reverie Zone, Flying Battery Zone Act 2, Guided Tour: Credits, Lava Reef Zone Act 2, Ruby Delusions: Eggman Boss 1",
The Sounds Resource,Sonic the Hedgehog 3&K: Sound Effects,,S3K_3C,Spindash,Discovery: Title Screen,
The Sounds Resource,Sonic the Hedgehog 3&K: Sound Effects,,S3K_45,"Electric Shield, Jump",Tabloid Jargon: Press Garden Zone Act 1,
The Sounds Resource,Sonic the Hedgehog 3&K: Sound Effects,,S3K_B0,,Rise of the Icon: Sonic Mania Alternate Intro,
Turntable Lab,All The Breaks 300 Essential Drum Breaks,Track 10 -> TS 0:00,,,Metallic Madness Zone Act 1,
UVI,Digital Synsations,DS1 -> Synth Solo,Glassy Fluty,,Stardust Speedway Zone Act 1,
UVI,Digital Synsations,DS77 -> Bells,Massy Christmas,,Steel Cortex: Titanic Monarch Zone Act 2,
UVI,Digital Synsations,DS90s -> Bass,FM Bass,,"Skyway Octane: Mirage Saloon Zone (Act 1 ST Mix), Stardust Speedway Zone Act 2",
UVI,Digital Synsations,DS90s -> Bells,Majestic Chimes,,Stardust Speedway Zone Act 1,
UVI,Digital Synsations,DS90s -> Leads,Jairo Lead,,Stardust Speedway Zone Act 1,
UVI,Digital Synsations,DS90s -> Strings-Orchestra,Rugged Strings,,Skyway Octane: Mirage Saloon Zone (Act 1 ST Mix),
UVI,Digital Synsations,DSX -> Electric Pianos,DX Piano,,Stardust Speedway Zone Act 1,
Vengeance Sound,Vengeance Effects Vol. 1,2 VFX Uplifter,VFX1 Uplifter 006,,Danger on the Dance Floor: Mid-Boss,
Vengeance Sound,Vengeance Electro Essentials Vol. 1,VEE Cymbals -> VEE Crashes,VEE Crash 04,,"Flying Battery Zone Act 1, Flying Battery Zone Act 2",
Vengeance Sound,Vengeance Electro Essentials Vol. 1,VEE Cymbals -> VEE Crashes,VEE Crash 07,,Danger on the Dance Floor: Mid-Boss,
Vengeance Sound,Vengeance Essential Clubsounds Vol. 1,VEC1 Vinyl FX and Scratches,VEC1 FX Scratch 19,Panned 50% to the right,Chemical Plant Zone Act 2,
Vengeance Sound,Vengeance Essential Clubsounds Vol. 1,VEC1 Vinyl FX and Scratches,VEC1 FX Scratch 20,,"Lights, Camera, Action!: Studiopolis Zone Act 1",
Vengeance Sound,Vengeance Essential Clubsounds Vol. 1,VEC1 Vinyl FX and Scratches,VEC1 FX Scratch 47,,"Lights, Camera, Action!: Studiopolis Zone Act 1",
Vengeance Sound,Vengeance Essential Clubsounds Vol. 2,VEC2 FX,VEC2 FX 051,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential Clubsounds Vol. 3,VEC3 FX -> VEC3 Scratching FX,VEC3 FX Scratching 22,Pitched down 3 semitones,Stardust Speedway Zone Act 2,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Effects -> VDUB1 Downlifter,VDUB1 Downlifter 36,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Effects -> VDUB1 Short FX,VDUB1 Short FX 25,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Effects -> VDUB1 Uplifter,VDUB1 Uplifter 35,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Kicks,VDUB1 Kick 005,,Glimmering Gift: Super Transformation,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Snares,VDUB1 Snare 001,Has EQ,Glimmering Gift: Super Transformation,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Synth Oneshots,VDUB1 Synth Oneshot 003 C ,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Synth Oneshots,VDUB1 Synth Oneshot 021 C ,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential Dubstep Vol. 1,VDUB1 Synth Oneshots,VDUB1 Synth Oneshot 028 C ,,Steel Cortex: Titanic Monarch Zone Act 2,
Vengeance Sound,Vengeance Essential House Vol. 1,VEH1 FX -> VEH1 Scratchy,VEH1 Scratchy: 03,,"Danger on the Dance Floor: Mid-Boss, Stardust Speedway Zone Act 1, Stardust Speedway Zone Act 2, Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix)",
Vengeance Sound,Vengeance Vocal Essentials Vol. 1,VVE1 Lofi Vocals -> VVE1 LoFi Phrases,VVE1 LoFi Phrases 020,Pitched down around 6 semitones,Stardust Speedway Zone Act 1,
Vengeance Sound,Vengeance Vocal Essentials Vol. 1,VVE1 Vocals -> VVE1 Vocal Oneshots,VVE1 Vocal Oneshots 035,,Ruby Delusions: Eggman Boss 1,
Vengeance Sound,Vengeance Vocal Essentials Vol. 1,VVE1 Vocals -> VVE1 Vocal Words,VVE1 Vocal Words 012,,Stardust Speedway Zone Act 1,
Xfer Records,Serum,Leads,LD Magic Pipe [BR],,Dimension Heist: UFO Special Stage,
Xfer Records,Serum,Leads,LD Mobius Sync [SD],,Dimension Heist: UFO Special Stage,
Zero-G,Datafile 1,Track 01: Breakbeat Live -> TS 0:21,1 Bar,,Ruby Delusions: Eggman Boss 1,
Zero-G,Datafile 1,Track 03: Breakbeat Live -> TS 0:28,1 Bar,,Havoc Prognosis: Eggman Boss 2,
Zero-G,Datafile 1,Track 28: Speech (Male M.C.) -> TS 0:28,"""Go!"" (Version 1)",,Danger on the Dance Floor: Mid-Boss,
Zero-G,Datafile 1,Track 31: Vocal Hit (Male) -> TS 0:21,"""Wooh!""",,Stardust Speedway Zone Act 2,
Zero-G,Datafile 1,Track 32: Vocal Hit (Male) -> TS 0:00,"""Come on!""",,Stardust Speedway Zone Act 2,
Zero-G,Datafile 1,Track 42: Misc House & Techno FX -> TS 0:30,Arpeggio Fill,,Metallic Madness Zone Act 2,
Zero-G,Datafile 1,Track 51: Stabs -> TS 0:22,Horn stab no. 8,,Stardust Speedway Zone Act 2,
Zero-G,Datafile 2,Track 58: Misc. House FX -> TS 0:24,Organ slide FX,,Hi-Spec Robo Go!: Hard Boiled Heavy Boss,
Zero-G,Datafile 2,Track 59: Speech (Male) -> TS 0:26,"""Let me see if you can dance!""",,"Danger on the Dance Floor: Mid-Boss, Hi-Spec Robo Go!: Hard Boiled Heavy Boss, Stardust Speedway Zone Act 2",
Zero-G,Datafile 2,Track 61: Speech (Male) -> TS 0:14,"""Work that sucker to death!""",,Rise of the Icon: Sonic Mania Alternate Intro,
Zero-G,Datafile 2,Track 68: Speech (Male) -> TS 0:23,"""Git funky, git down!""",,Stardust Speedway Zone Act 2,
Zero-G,Datafile 2,Track 91: Vocal adlib (Male) -> TS 0:16,"""Ay-hey-yeah!""",,Vs. Metal Sonic,
Stuff to Find,,,,,,
Sample: NASA,Apollo 11 Launch,,,Countdown Vocals,Ruby Illusions: Final Boss,
MusicLab,RealLPC,,,,,
Vengeance Sound (?),? (Maybe House Vol. 3-4 or Electro Vol. 3),,,Shifted Snare/Clap,Hi-Spec Robo Go!: Hard Boiled Heavy Boss,
Vengeance Sound,? (Various Sample Packs),,,See note,-Used throughout the soundtrack-,
?,?,,,Alternate Orchestra Hit,-Used throughout the soundtrack-,
?,?,,,Electric Guitar Lead,"Egg Reverie: Egg Reverie Zone, Guided Tour: Credits, Lava Reef Zone Act 2, Rise of the Icon: Sonic Mania Alternate Intro, Skyway Octane: (Mirage Saloon Zone Act 1 ST Mix)",
?,?,,,Guitar,"Chemical Plant Zone Act 2, Lava Reef Zone Act 1, Lava Reef Zone Act 2, Prime Time: Studiopolis Zone Act 2",
?,?,,,Muted Guitar,"Green Hill Zone Act 2, Guided Tour: Credits, Hydro City Zone Act 2, Stardust Speedway Zone Act 1, Sunshine Cassette: Save Select",
?,?,,,Record Scratch,Metallic Madness Zone Act 2,
?,?,,,"""Hey!""",Wildstyle Pistolero: Mirage Saloon Zone (Act 1 K Mix),
Sonic Mania Plus,,"(Released: July 17, 2018)",,(Music by: Falk Au Yeong),,
,,,,,,
Stuff to Find,,,,,,
Mojo,MOJO: Horn Section,,,,Trap Tower: Pinball Bonus Stage,
Native Instruments,Massive,,,,Trap Tower: Pinball Bonus Stage,
Prominy,V-METAL,,,,Trap Tower: Pinball Bonus Stage,
Spectrasonics,Omnisphere,,,"Rhodes, Synth Lead",Trap Tower: Pinball Bonus Stage,
XLN Audio,Addictive Drums 2,,,,Trap Tower: Pinball Bonus Stage,
?,?,,,Drums,Double Take: Encore Save Select,
Sonic Mania (Beta),,,,(Music by: Tee Lopes),,
Best Service,Drums Overkill,SINGLE # HI-HATS & CYMBALS -> CYMBALS,CRASHCYM_004,,Pulp Friction Zone,
Best Service,Drums Overkill,SINGLE # HI-HATS & CYMBALS -> CYMBALS,RIDECYM_013,,,
KORG,M1 Legacy Collection,PROG,K01 12 BrassOfPower,,Pulp Friction Zone,
KORG,M1 Legacy Collection,PROG,M01 22 Solo Sax,,Hidden Palace Zone,
KORG,M1 Legacy Collection,PROG,M01 25 Kalimba,,Pulp Friction Zone,
KORG ,M1 Legacy Collection,PROG,M04 43 Life Magic,,"Pulp Friction Zone, Hidden Palace Zone",
KORG,M1 Legacy Collection,PROG,M08 13 Monopoly,,Hidden Palace Zone,
KORG,Mono/Poly Legacy Collection,Bank A,A082: Dark Pick Bass,,Pulp Friction Zone,
KORG,Mono/Poly Legacy Collection,Bank B,B067: Fuze Lead,,Pulp Friction Zone,
LUXONIX,Purity,050 Piano,001 1st Impression,,Hidden Palace Zone,
LUXONIX,Purity,000 GM Normal,077 Shakuhachi,,Pulp Friction Zone,
MaxV,200 Drum Machines,Akai XR10,XRSnare02,,,
UVI,Digital Synsations,DS77 -> Keys,Digital Clav,,Pulp Friction Zone,
Stuff to Find,,,,,,
?,?,,,Bass,Hidden Palace Zone,
Sonic Superstars,,"(Released: October 17, 2023)",,(Music by: see notes),,
AIR Music Technology,Xpand!2,Parts -> 022 Synth Basses,1 Osc Saw Bass,,"Act 1 Boss Theme, Hub World, Battle Mode Results",
AIR Music Technology,Xpand!2,Parts -> 027 Basics,Mono Digital Wave,,"Act 1 Boss Theme, Hub World",
AIR Music Technology,Xpand!2,Parts -> 027 Basics,Mono Pulse,,"Act 1 Boss Theme, Hub World, Battle Mode Results",
AIR Music Technology,Xpand!2,Parts -> 027 Basics,Mono Saw,,"Hub World, Battle Mode Results",
AIR Music Technology,Xpand!2,Patches -> 06 Polysynths,+01 All Purpose Stack,,Battle Mode Results,
AIR Music Technology,Xpand!2,Patches -> 09 Multitrack Arpeggios,+01 Airy Arp,,Hub World,
AIR Music Technology,Xpand!2,Patches -> 15 Organs,+15 Theatre FM Organ,,Press Factory Zone Act1,
AIR Music Technology,Xpand!2,Patches -> 21 Guitars,+24 Dyna Wah Dirty Strat,,"Act 1 Boss Theme, Press Factory Zone Act1",
AIR Music Technology,Xpand!2,Patches -> 21 Guitars,+25 Mod Wah Dirty Strat,,"Act 1 Boss Theme, Press Factory Zone Act1",
AIR Music Technology,Xpand!2,Patches -> 24 Synth Basses,+28 FM Bass,Make mono,Act 1 Boss Theme,
Big Fish Audio,BiPolar,35 Summer Jive 175 Abmin,drums01,,Act 1 Boss Theme,
Big Fish Audio,BiPolar,35 Summer Jive 175 Abmin,drums02,,Act 1 Boss Theme,
Image-Line,FL Studio,Packs -> Drums -> SFX,Grv Hit Metal,,Bridge Island Zone Act2,
KORG,Gadget,Otorii,FANTASY ZONE DRUM,,Frozen Base Zone Act2,
KORG,M1 Legacy Collection,PROG,K01 55 SpecktrmBell,,Lagoon City Zone Act1,
KORG,M1 Legacy Collection,PROG,M01 09 Drums #1,,"Pinball Carnival Act1, Pinball Carnival Act2",
KORG,M1 Legacy Collection,PROG,M01 03 Ooh/Ahh,All effects off,"Lagoon City Zone Act1, Pinball Carnival Act2",
KORG,M1 Legacy Collection,PROG,M01 62 Tenor Sax,,Lagoon City Zone Act2,
KORG,M1 Legacy Collection,PROG,M04 43 Life Magic,,Lagoon City Zone Act2,
KORG,M1 Legacy Collection,PROG,M08 00 Rocklead,,Lagoon City Zone Act1,
KORG,M1 Legacy Collection,PROG,M08 13 Monopoly,,Lagoon City Zone Act2,
KORG,TRITON Legacy Collection,Programs -> Bank A,A036 Standard Kit,,Lagoon City Zone Act1,
KORG,TRITON Legacy Collection,Programs -> Bank B,B079 Tropico Bells,,Lagoon City Zone Act1,
Lennar Digital,Sylenth1,FactoryBank1,001: ARP 303 Saw,,Speed Jungle Zone Act1,
Lennar Digital,Sylenth1,FactoryBank1,052: LD Follow,,Sand Sanctuary Zone Act1,
Lennar Digital,Sylenth1,FactoryBank3,306: LD UniSaw Lead,,Special Stage,
LUXONIX,Purity,050 Piano,001 1st Impression,,"Bridge Island Act1, Lagoon City Zone Act2",
Native Instruments,Kontakt Factory Library,Orchestral -> 4 - VSL Percussion,Xylophone,,Speed Jungle Zone Act2,
Rhythm Lab,Amen Break vol.1,,cw_amen06_169,,Cyber Station Boss,
Spectrasonics,Omnisphere 2,Bells and Vibes,Attack Shimmer,,Emerald Power: Ivy,
Spectrasonics,Omnisphere 2,Synth Mono,Fat SID Lead,,"Emerald Power: Ivy, Golden Capital Zone Act2",
Spectrasonics,Omnisphere 2,Synth Bass,Intense Motion Bass,,Emerald Power: Vision,
Spectrasonics ,Stylus RMX,RMX Grooves,90-Stutter,,Emerald Power: Ivy,
Spectrasonics,Trilian,Acoustic Bass,XTRA - Patitucci Acoustic Bass,,Sky Temple Zone,
Spectrasonics,Trilian,Bass - Electric Slapped,Studio Slap Sustain,,Lagoon City Zone Act1,
Steinberg,HALion Sonic SE,Pro Set,Expressive Flute,,"Speed Jungle Zone Act ""Sonic"", Lagoon City Zone Act ""Amy""",Demo
UVI,Digital Synsations,DS1 -> Keys,Power Piano,,Sand Sanctuary Zone Act1,
UVI,Digital Synsations,DS90s -> Leads,Jairo Lead,,Speed Jungle Zone Act1,
Xfer Records,Serum,Leads,LD Tokyo,,Speed Jungle Zone Act2,
Stuff to Find,,,,,,
Embertone,Joshua Bell Violin?,,,,Sand Sanctuary Zone Act1,
Spectrasonics,Trilian,,,,Pinball Carnival Act1,
?,? (Sample Pack),,,Speak N' Spell Vocals,"Pinball Carnival Zone Act1, Pinball Carnival Zone Act2",
?,? (DX7 VST),,,Tub Bells patch,Bridge Island Zone Act2,
?,?,,,Electric Guitar Lead,"Bridge Island Zone Act2, Speed Jungle Zone Act1",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
 Section 2 - Modern,,,,,,
,,,,,,
Sonic Adventure,,"(Released: December 23, 1998)",,"(Music by: Jun Senoue, Kenichi Tokoi, Fumie Kumatani)",,
Live Recording: Jun Senoue,"ESP SEC ""Koa Maple""",,,Confirmed by Jun Senoue,"Azure Blue World ...for Emerald Coast, The Air ...for Windy Valley",
Live Recording: Jun Senoue,"ESP Vintage Plus ""Roadrunner""",,,Confirmed by Jun Senoue,"Welcome to Station Square, Azure Blue World ...for Emerald Coast",
Live Recording: Jun Senoue,Jerry Jones Guitars Master Electric Sitar,,,Confirmed by Jun Senoue,Azure Blue World ...for Emerald Coast,
Best Service,Brass Super Section,Partition A -> SAX SHTFLL44,SAX  SHTFLL,,Blue Star ...for Casinopolis,
Best Service,Brass Super Section,Partition A -> SAX SWL10 44,SAX  SWL 100,,Blue Star ...for Casinopolis,
Best Service,Brass Super Section,Partition A -> SAX SWL14 44,SAX  SWL 140,,"The Dreamy Stage ...for Casinopolis, Jingle: Round Clear, etc.",
Best Service,Brass Super Section,Partition B -> TRMB SWL10 44,TRMB SWL 100,,Blue Star ...for Casinopolis,
Best Service,Brass Super Section,Partition B -> TRMB SWL14 44,TRMB SWL 144,,Jingle: Round Clear,
Best Service,Brass Super Section,Partition C -> TRP SHTFLL44,TRP   SHTFLL,,Blue Star ...for Casinopolis,
